"Model_A","Model_B","Mean_Similarity","Median_Similarity","N_pairs"
"gpt-5.1","gpt-5.4-mini",0.565865110164257,0.557139628375106,90
"gpt-5.1","gpt-5.4-nano",0.541392376044576,0.547000376515591,90
"gpt-5.1","grok-2-vision",0.531039309403759,0.506285035459201,90
"gpt-5.1","grok-4-1",0.440017961151886,0.449960808492717,90
"gpt-5.1","grok-4.3",0.412668949995932,0.412161035841254,90
"gpt-5.4-mini","gpt-5.4-nano",0.574726668358008,0.56937627723044,90
"gpt-5.4-mini","grok-2-vision",0.54877674281555,0.565658362113856,90
"gpt-5.4-mini","grok-4-1",0.434005329997039,0.437009632289887,90
"gpt-5.4-mini","grok-4.3",0.396918730585499,0.392516291667058,90
"gpt-5.4-nano","grok-2-vision",0.520670433897251,0.505530899213831,90
"gpt-5.4-nano","grok-4-1",0.440011776794245,0.440842380305581,90
"gpt-5.4-nano","grok-4.3",0.396426451596373,0.393248577583654,90
"grok-2-vision","grok-4-1",0.43320730879807,0.434658540808101,90
"grok-2-vision","grok-4.3",0.396777851276682,0.405661077050622,90
"grok-4-1","grok-4.3",0.411443810267989,0.409655099040088,90
